cod_titulo,titulo,locacao,valor,qtde_tot,qtde_disp,cod_grupo,cod_estilo
364,"Roma Negra","24",,2,2,6,39
365,"Marechal da Alegria","24",,1,1,6,39
366,"Kriptonita","24",,2,2,6,39
367,"Filhos da Alegria","24",,2,2,6,39
368,"Vai Subir Poeira","24",,1,1,6,39
369,"Sétimo","24",,1,1,6,39
370,"Meus Momentos","24",,1,1,6,39
371,"Axé Bahia 97","24",,3,3,6,39
372,"Jovem Pan Dance Remix","24",,1,1,6,39
373,"É Festa","24",,1,1,6,39
374,"Banda Eva - Ao Vivo","24",,3,3,6,39
375,"Cheiro de Amor - Ao Vivo","24",,4,4,6,39
376,"O Vôo do Beija-Flor","24",,1,1,6,39
377,"Companhia do Pagode - Ao Vivo","24",,2,1,6,39
378,"Asa de Águia - Ao Vivo","24",,1,1,6,39
379,"Axé","24",,1,1,6,39
380,"Boquinha da Garrafa","24",,1,1,6,39
381,"Jeitinho de Dançar","24",,1,1,6,39
382,"Mãe de Samba","24",,1,1,6,39
383,"Do Brasil","24",,4,4,6,39
384,"Axé Band Vol 2","24",,1,1,6,39
385,"Aldeia Tribal","24",,1,1,6,39
386,"Me Leva","24",,2,2,6,39
387,"Pra Lá de Bom","24",,1,1,6,39
388,"Minha História","24",,1,1,6,39
389,"Minha História","24",,1,1,6,39
390,"Liberdade","24",,1,1,6,39
391,"Tanta Coisa Mudou","24",,1,1,6,39
392,"Tá Reclamando De Quê?","24",,2,2,6,39
393,"Jogo de Cena","24",,1,1,6,39
394,"Maravilha","24",,1,1,6,39
395,"Quebra Mola","24",,1,1,6,39
396,"Caderninho","24",,1,1,6,39
397,"Axé Bahia 98","24",,1,1,6,39
398,"Me Chama","24",,1,1,6,39
399,"Cheiro de Amor - Ao Vivo Anterior","24",,1,1,6,39
400,"Nhec, Nhec, Roinc, Roinc","24",,1,1,6,39
401,"Amar é Bom","24",,1,1,6,39
402,"Grandes Sucessos ","24",,1,1,4,24
403,"Jura Que Me Ama","24",,1,1,4,24
404,"Mulher","24",,1,1,4,24
405,"Enredo de Sempre","24",,1,1,7,47
406,"O Canto da Guerreira","24",,1,1,7,47
407,"Aquarela Brasileira 6","24",,1,1,7,47
408,"Aquarela Brasileira 7","24",,1,1,7,47
409,"O Segundo","24",,1,1,7,47
410,"Banda Brasil","24",,1,1,7,47
411,"Imperatriz Campeã","24",,1,1,7,47
412,"Natural","24",,1,1,7,47
413,"Carta Musicada","24",,1,1,7,47
414,"Dengo","24",,1,1,7,47
415,"Emoção de Amar","24",,1,1,7,47
416,"Grupo Pirraça","24",,1,1,7,47
417,"Personalidade","24",,1,1,7,47
418,"Ao Rio de Janeiro","24",,1,1,7,47
419,"Só Pra Contrariar","24",,1,1,7,47
420,"2ª Edição","24",,1,1,7,47
421,"Gera Samba","24",,1,1,7,47
422,"Raça Negra","24",,1,1,7,47
423,"Aquarela Brasileira 2","24",,1,1,7,47
424,"Molejo Vol 2","24",,4,2,7,47
425,"Nada Igual","24",,1,1,7,47
426,"É Disso Que Eu Preciso","24",,1,1,7,47
427,"Marrom Bombom","24",,1,1,7,47
428,"Aquarela Brasileira 4","24",,1,1,7,47
429,"Não Sei  Viver Sem Você","24",,1,1,7,47
430,"Todo Seu","24",,1,1,7,47
431,"Só É Bom Com Você","24",,1,1,7,47
432,"Chegou Para Abalar","24",,1,1,7,47
433,"Fui","24",,1,1,7,47
434,"Banda Brasil Vol 3","24",,1,1,7,47
435,"Força Do Destino","24",,1,1,7,47
436,"Aquerela Brasileira 3","24",,1,1,7,47
437,"Aquarela Brasileira 5","24",,1,1,7,47
438,"Acima de Deus, Só Deus","24",,1,1,7,47
439,"O Mapa da Mina","24",,1,1,7,47
440,"Guardar Você Dentro de Mim","24",,1,1,7,47
441,"Terrasamba Faz Bem","24",,1,1,7,47
442,"A Cara do Brasil","24",,1,1,7,47
443,"Tentação","24",,1,1,7,47
