cod_interprete,interprete
1067,"Gal Costa"
1068,"Vânia Bastos"
1069,"Cássia Eller"
1070,"Leo Gandelman"
1071,"Adriana Calcanhoto"
1072,"Alceu Valença"
1073,"João Bosco"
1074,"Lulu Santos"
1075,"Milton Nascimento"
1076,"Décio Rocha"
1077,"Alcione"
1078,"Fafá de Belém"
1079,"Angela Maria"
1080,"Os Quatro Grandes"
1081,"Lúcio Alves"
1082,"Lúcio Alves"
1083,"As Eternas Cantoras do Rádio"
1084,"Elymar"
1085,"Os Incríveis"
1086,"Silvio Caldas"
1087,"Violas &  Repentes"
1088,"Os Serranos"
1089,"Aves Brasileiras"
1090,"Costinha "
1091,"Dercy Gonçalves"
1092,"Hinos dos Campeões"
1093,"O Grito da Independência"
1094,"Datas Festivas"
1095,"Disney - Super Hits "
1096,"Cantigas de Roda"
1097,"Cinderela, João & Maria"
1098,"Pinóquio"
1099,"Branca de Neve"
1100,"Chapeuzinho Vermelho"
1101,"Cinderela"
1102,"Cavaleiros do Zodíaco"
1103,"Autores - Caetano / Milton / Djavan"
1104,"Canhoto da Paraíba"
1105,"Paramount - Templo da Bossa"
1106,"Lô Borges"
1107,"Chitãozinho & Xororó"
1108,"Tânia Alves"
1109,"Fevers"
1110,"Belchior"
1111,"Benito de Paula"
1112,"Belchior"
1113,"Benito di Paula"
1114,"Cauby Peixoto"
1115,"MPB 4"
1116,"Cassia Eller"
1117,"Roupa Nova"
1118,"Fagner"
1119,"Chico Buarque"
1120,"MPB 1"
1121,"Caetano Veloso"
1122,"Dick Farney"
1123,"Reginaldo Rossi"
1124,"Jessé"
1125,"Roberto Carlos"
1126,"A Cor do Som"
1127,"Mulheres 95"
1128,"Chico Buarque"
1129,"Gabriel - O Pensador"
1130,"Selma Reis"
1131,"Chico Buarque"
1132,"Sergio Reis"
1133,"Tim Maia"
1134,"Roberto Carlos"
1135,"Tributo a um Campeão"
1136,"Malhação"
1137,"História de Amor"
1138,"Priscila"
1139,"Xuxa"
1140,"Fábio Jr."
1141,"Simone"
1142,"Ney Matogrosso"
1143,"Joanna"
1144,"Dalto"
1145,"Jorge Ben"
1146,"Martinho da Vila"
1147,"Danças de Salão"
1148,"Roberta Miranda"
1149,"Ritmos do Brasil"
1150,"Chorinhos de Ouro"
1151,"Os 3 Malandros"
1152,"Carlos José"
1153,"Cara & Caroa"
1154,"Jovem Guarda"
1155,"Zé Geraldo"
1156,"Lobão"
1157,"Sérgio Reis"
1158,"Altemar Dutra"
1159,"Amelhinha"
1160,"Maysa"
1161,"Joanna"
1162,"Made In Brazil"
1163,"Jair Rodrigues"
1164,"Altemar Dutra"
1165,"Beto Barbosa"
1166,"Roberta Miranda"
1167,"Roberta Miranda"
1168,"Roberta Miranda"
1169,"Zezé di Camargo & Luciano"
1170,"Gilliard"
1171,"Fernanda Abreu"
1172,"Gilberto Gil"
1173,"Caetano Veloso"
1174,"Gonzaguinha"
1175,"Paulo Diniz"
1176,"Adilson Ramos"
1177,"Mamonas Assassinas"
1178,"Zélia Duncan"
1179,"Zé Lesim da Paraíba"
1180,"Seu Boneco"
1181,"Afonso Nigro"
1182,"João Gilberto"
1183,"Beto Guedes"
1184,"Sandra de Sá"
1185,"Watusi"
1186,"Zé Ramalho"
1187,"Xuxa"
1188,"Hinos do Futebol Brasileiro"
1189,"Cazuza"
1190,"Geraldo Azevedo"
1191,"Agepê"
1192,"Elba Ramalho"
1193,"Roberto Carlos"
1194,"Cash Box 10"
1195,"Paulo Goulart e Nicete Bruno"
1196,"Leila Pinheiro"
1197,"Paquitas"
1198,"Cássia Eller"
1199,"Belchior"
1200,"Elis Regina"
1201,"Clara Nunes"
1202,"Sandy e Júnior"
1203,"Festa de Arromba"
1204,"Kátia"
1205,"Clube do Seu Boneco"
1206,"João Bosco"
1207,"Joanna"
1208,"Mamonas Assassinas"
1209,"Alceu Valença"
1210,"Chico Buarque"
1211,"Marina"
1212,"Simone"
1213,"Simone"
1214,"O Passado é Uma Parada"
1215,"Bezerra da Silva"
1216,"Power Rangers"
1217,"Mariane"
1218,"Carrossel"
1219,"Rap Brasil 2"
1220,"Marisa Monte"
1221,"Jorge Vercilo"
1222,"Simonny"
1223,"Moraes Moreira"
1224,"Angélica"
1225,"Leandro & Leonardo"
1226,"José Augusto"
1227,"Leny Andrade"
1228,"Jamelão"
1229,"Regininha Perigosa"
1230,"As Pupilas do Senhor Reitor"
1231,"O Quatrilho"
1232,"Jovem Guarda - Os Reis do Iê - Iê - Iê       "
1233,"Jovem Guarda - Os Reis do Iê - Iê - Iê"
1234,"Jovem Guarda - Os Reis do Iê - Iê - Iê"
1235,"Jovem Guarda - Os Reis do Iê - Iê - Iê"
1236,"Jovem Guarda - Os Reis do Iê -  Iê - Iê"
1237,"Biafra"
1238,"Elomar "
1239,"Gilberto Gil"
1240,"Ed Mota"
1241,"Almir Sater"
1242,"Leny Andrade"
1243,"Pery Ribeiro"
1244,"Sivuca"
1245,"Altamiro Carrilho"
1246,"Ataulfo Alves"
1247,"Severino Araújo"
1248,"Zimbo Trio"
1249,"Xuxa"
1250,"Waldick Soriano"
1251,"Patrícia Marx"
1252,"João Bosco"
1253,"Alcione"
1254,"Fábio Jr."
1255,"Leonardo"
1256,"Bezerra da Silva"
1257,"Sergio Mallandro"
1258,"Lobão"
1259,"Danilo Caymmi"
1260,"Marina"
1261,"MPB  Momentos"
1262,"Coletânea Show Bizz"
1263,"Falcão"
1264,"Edson Gomes"
1265,"A Idade da Loba"
1266,"Vinícius de Moraes"
1267,"Serestas e Serenatas"
1268,"Besame Mucho"
1269,"Tv Colosso"
1270,"Angélica"
1271,"Roberto Carlos"
1272,"Roberto Carlos"
1273,"Roberto Carlos"
1274,"Roberto Carlos"
1275,"Roberto Carlos"
1276,"Tim Maia, Cassiano e Hildon"
1277,"Simone"
1278,"Chitãozinho & Xororó"
1279,"Wilson Simonal"
1280,"Miltinho"
1281,"Quinteto Violado"
1282,"Renato Russo"
1283,"Caetano Veloso"
1284,"João Bosco"
1285,"Lobão"
1286,"Ney Matogrosso / Secos & Molhados"
1287,"Yahoo"
1288,"Leo Jaime"
1289,"Caetano Veloso"
1290,"José Augusto"
1291,"Alceu Valença"
1292,"Renato Teixeira"
1293,"Nelson Gonçalves"
1294,"Nelson Gonçalves"
1295,"Chico Buarque de Holanda"
1296,"Roberto Carlos"
1297,"Jorge BenJor"
1298,"João Marcelo Boscoli & Cia"
1299,"Fábio Jr."
1300,"Caetano e Chico"
1301,"Nara Leão"
1302,"Joanna"
1303,"As Grandes Cantoras"
1304,"Roupa Nova"
1305,"Fagner"
1306,"Ednaldo Queiroz"
1307,"A Harpa e o Natal"
1308,"Feliz Natal"
1309,"Altemar Dutra"
1310,"Porradão do Funk"
1311,"Elis Regina / Maysa"
1312,"Elymar Santos"
1313,"Malhação  Vol. 2"
1314,"Sidney Magal"
1315,"Carlos José / Núbia Lafayette"
1316,"Emilinha Borba / Elizeth Cardoso"
1317,"Explode Coração"
1318,"Cazuza"
1319,"Caetano Veloso"
1320,"Henrique Annes"
1321,"Bantus"
1322,"Furacão 2000"
1323,"Edu Lobo / Chico Buarque"
1324,"Almir"
1325,"Maurício Mattar"
1326,"João Nogueira"
1327,"Gal Costa"
1328,"Simone"
1329,"Simone"
1330,"MPB 4"
1331,"Nelson Gonçalves"
1332,"Amado Batista"
1333,"Antonio Carlos e Jocafi"
1334,"Belchior"
1335,"Danilo Caymmi"
1336,"Jessé"
1337,"Dorival Caymmi"
1338,"Alcione"
1339,"Chitãozinho & Xororó"
1340,"Luiz Melodia"
1341,"Ivan Lins"
1342,"Lindomar Castilho"
1343,"Daniel Bueno"
1344,"Cartola"
1345,"Caetano Veloso"
1346,"Caetano Veloso"
1347,"Xuxa"
1348,"Ednardo"
1349,"Roupa Nova"
1350,"Djavan"
1351,"Leila Pinheiro"
1352,"Maurício Mattar"
1353,"Caetano, Gal, Gil & Bethânia"
1354,"Elba Ramalho"
1355,"Marcelo"
1356,"Nelson Gonçalves"
1357,"Sertanejo"
1358,"Orlando Silva"
1359,"Violas & Repentes"
1360,"Chico Buarque"
1361,"Ney Matogrosso & Aquarela Carioca"
1362,"Tribo de Jah"
1363,"Rap Brasil "
1364,"Jane Duboc"
1365,"Vânia Bastos"
1366,"Fátima Guedes"
1367,"Franzine"
1368,"Aguinaldo Timóteo"
1369,"Milton Nascimento"
1370,"Vinícius de Moraes"
1371,"Chico Buarque"
1372,"Antonio Carlos & Jocafi"
1373,"Wilson Simonal"
1374,"Cartola"
1375,"Guilherme Arantes"
1376,"Ney Matogrosso"
1377,"Banda Black Rio"
1378,"Gal Costa"
1379,"Paulinho da Viola"
1380,"Funk Melody 96"
1381,"Caçarola"
1382,"Eduardo Toledo"
1383,"Verônica Sabino"
1384,"Almir Sater"
1385,"Roberto Carlos"
1386,"Roberto Carlos"
1387,"Zé Ramalho e Fagner"
1388,"Léo Jaime e RPM"
1389,"Sá & Guarabyra"
1390,"Egberto Gismonti"
1391,"Egberto Gismonti"
1392,"Egberto Gismonti / Nana Vasconcelos"
1393,"Egberto Gismonti"
1394,"Egberto Gismonti Group"
1395,"Trio Irakitan"
1396,"Waldick Soriano"
1397,"Benito de Paula"
1398,"Sandra de Sá"
1399,"Sergio Reis"
1400,"Belchior"
1401,"Alcione"
1402,"Professor Antena"
1403,"Milton Banana"
1404,"Vinícius de Moraes"
1405,"Omeriah"
1406,"Ivan Lins"
1407,"Cartola"
1408,"Moreira da Silva"
1409,"Bezerra da Silva"
1410,"Maria Creuza"
1411,"Ronnie Von"
1412,"Taiguara"
1413,"The Fevers"
1414,"Paulo Sérgio"
1415,"Silvio Cesar"
1416,"Lambadas Brasileiras"
1417,"Altemar Dutra"
1418,"Altemar Dutra"
1419,"Elis Regina"
1420,"Para Animar a Festa"
1421,"Chico Buarque"
1422,"Belchior"
1423,"Maria Bethânia e Caetano Veloso"
1424,"Caetano Veloso"
1425,"Roberto Carlos"
1426,"Roberto Carlos"
1427,"Agnaldo Rayol"
1428,"Nelson Ned"
1429,"Almir"
1430,"Fafá de Belém"
1431,"Orquesta Tabajara"
1432,"Moacyr Franco"
1433,"Renascer 2"
1434,"Maria Bethânia"
1435,"Lucas & Matheus"
1436,"Chitãozinho & Xororó"
1437,"Agostinho dos Santos"
1438,"Adilson Ramos"
1439,"Wando"
1440,"Toquinho"
1441,"Simone"
1442,"Suzana Vieira"
1443,"Fábio Jr."
1444,"Mc Markynhos e Mc Dollores"
1445,"Juno"
1446,"Boca Livre"
1447,"O Melhor da Jovem Guarda"
1448,"Quem é Você"
1449,"Geraldo Azevedo"
1450,"Rosa Passos"
1451,"Secos & Molhados"
1452,"Fátima Guedes"
1453,"Sandro Becker"
1454,"Radio Hits"
1455,"Almir Sater"
1456,"Naná Vasconcelos"
1457,"Oswaldo Montenegro"
1458,"Brasil Hits"
1459,"Alípio Martins "
1460,"MPB 4"
1461,"Galego Aboiador"
1462,"Elomar / Geraldo Azevedo / Vital Farias / Xangai"
1463,"Falcão"
1464,"Xuxa"
1465,"Xuxa"
1466,"Roberta Miranda"
1467,"Canta Nordeste"
1468,"Chico César"
1469,"Boca Livre"
1470,"Teixeira de Manaus"
1471,"As Sertanejas Mais Românticas"
1472,"Nosso Grande Amor"
1473,"Simples e Absurdo"
1474,"Caetano Veloso"
1475,"Emílio Santiago"
1476,"Angela Maria"
1477,"Chico Buarque"
1478,"Chico Buarque"
1479,"Chico Buarque"
1480,"Chico Buarque"
1481,"Chico Buarque"
1482,"Cássia Eller"
1483,"Latino"
1484,"Reginaldo Rossi"
1485,"Baianos & os Novos Caetanos"
1486,"Zezé di Camargo & Luciano"
1487,"Fábio Jr."
1488,"João Bosco"
1489,"Ney Matogrosso"
1490,"Tiririca"
1491,"Caju e Castanha"
1492,"Nôca do Acordeon"
1493,"Vinícius de Moraes"
1494,"Jorge Ben Jor"
1495,"Cantigas de Roda"
1496,"Brincando e Cantando"
1497,"Gilberto Gil "
1498,"Gilberto Gil"
1499,"Caetano Veloso"
1500,"Fernanda Abreu"
1501,"Trepidant's"
1502,"Gian e Giovani"
1503,"Zé Ramalho"
1504,"Orlando Dias"
1505,"Paulo Sérgio"
1506,"José Ribeiro"
1507,"Elba Ramalho"
1508,"Maria da Paz"
1509,"Geraldo Azevedo"
1510,"MPB 4"
1511,"Vira Lata"
1512,"Wanderléa"
1513,"Raimundo Fagner"
1514,"Teixeira de Manaus"
1515,"Mestre Ambrósio"
1516,"Angela Maria"
1517,"Renato Teixeira e Xangai"
1518,"João Gilberto "
1519,"Maria Bethânia"
1520,"Os Hinos dos Grandes Clubes Brasileiros"
1521,"Quinteto Violado"
1522,"João Paulo & Daniel"
1523,"Gilberto Gil"
1524,"Marina"
1525,"Pânico"
1526,"Edu & Bethânia"
1527,"Elis Regina"
1528,"Caetano Veloso"
1529,"Caetano Veloso"
1530,"Caetano Veloso"
1531,"Sidney Magal"
1532,"Donizete"
1533,"Maurício Reis"
1534,"Adilson Ramos"
1535,"Aguinaldo Timóteo"
1536,"O Fim do Mundo"
1537,"Elba Ramalho"
1538,"Clemilda e Sandro Becker"
1539,"Amigos"
1540,"Edson Cordeiro"
1541,"Fagner"
1542,"Roupa Nova"
1543,"Cantando Com os Bichos"
1544,"Tânia Alves"
1545,"Carlos André"
1546,"Nana Caymmi"
1547,"Roberto Carlos"
1548,"Márcio Greyck"
1549,"Fábio Jr."
1550,"Adilson Ramos"
1551,"Sula Miranda"
1552,"M.P.B."
1553,"Jovem Guarda"
1554,"Jovem Guarda"
1555,"Gonden Boys / Renato e Seus Blue Caps"
1556,"Zé Ramalho"
1557,"Diana Pequeno"
1558,"Malhação "
1559,"Eliana"
1560,"Zé Ramalho"
1561,"Tribo de Jah e Fauzi Beydoun "
1562,"Márcia"
1563,"Lô Borges"
1564,"Aguinaldo Timóteo"
1565,"Xuxa "
1566,"Rita Lee / Gilberto Gil"
1567,"Dalva de Oliveira"
1568,"Fagner / Elba / Zé e Amelinha"
1569,"Chico César"
1570,"Kakau Góis"
1571,"Benito di Paula"
1572,"Cazuza"
1573,"Leonardo"
1574,"Bitkids"
1575,"Golden Boys"
1576,"Wando"
1577,"Wando"
1578,"Wando"
1579,"Gal Costa"
1580,"Fagner"
1581,"Alceu Valença"
1582,"Geraldo Azevedo"
1583,"Zizi Possi"
1584,"Orlando Morais "
1585,"O Rei do Gado"
1586,"Alceu Valença"
1587,"Olivia Byington"
1588,"Castelo Rá-Tim-Bum"
1589,"Flávio Venturini"
1590,"Luiz Carlos Magno"
1591,"Amado Batista"
1592,"Ritchie"
1593,"Quinteto Violado"
1594,"Raul de Barros"
1595,"Alceu Valença"
1596,"Alceu Valença"
1597,"Alceu Valença"
1598,"Chitãozinho & Xororó"
1599,"Nouvelle Cuisine"
1600,"Zé Renato"
1601,"Elizeth Cardoso e Silvio Caldas"
1602,"Luiz Vieira"
1603,"A Arca de Noé"
1604,"Paulinho Moska"
1605,"Noel Rosa"
1606,"João Mineiro e Mariano"
1607,"Leo Gandelman"
1608,"Roberto Muller"
1609,"Leila Pinheiro"
1610,"Wando"
1611,"Pedrinho Mattar"
1612,"Renata Arruda"
1613,"Daniel Gonzaga"
1614,"Amado Batista"
1615,"Amado Batista"
1616,"Trepidant's"
1617,"Fevers"
1618,"Leandro & Leonardo"
1619,"Erasmo Carlos"
1620,"Leandro & Leonardo"
1621,"Sampa Crew"
1622,"Zé Ramalho"
1623,"Erasmo Carlos"
1624,"Golden Boys"
1625,"Roberto Carlos"
1626,"Roberto Carlos"
1627,"Marcelo Augusto"
1628,"Maria Creuza"
1629,"Belchior"
1630,"Oswaldo Montenegro"
1631,"Guilherme Arantes"
1632,"Joyce"
1633,"Marina Lima"
1634,"Ney Matogrosso"
1635,"Jorge Vercilo"
1636,"Gilberto Gil"
1637,"Tetê Espíndola"
1638,"Elis Regina"
1639,"Almir Sater"
1640,"Sérgio Reis"
1641,"Augusto César"
1642,"A Cor do Som"
1643,"Orlando Dias"
1644,"Silvio Cesar"
1645,"Altamiro Carrilho"
1646,"Hinos do Campeões"
1647,"Hinos e Marchas"
1648,"Tempos de Bossa Nova - Vol.1"
1649,"Tom Jobim"
1650,"Djavan"
1651,"O Rei do Gado "
1652,"Tieta do Agreste"
1653,"Mara Maravilha"
1654,"Leo Jaime"
1655,"Anjo de Mim"
1656,"João Paulo & Daniel"
1657,"Paulinho da Viola"
1658,"Taiguara"
1659,"Dance Rei"
1660,"Carrapicho"
1661,"Fernando Mendes"
1662,"Kiko Zambianchi"
1663,"Celly Campello"
1664,"Gugu"
1665,"Sandy e Júnior"
1666,"Gal Costa"
1667,"Arlindo Jr."
1668,"Carrapicho"
1669,"Caprichoso"
1670,"Filhos da Mata"
1671,"Boi-Bumbá - Garantido"
1672,"Maria Bethânia"
1673,"Orquestra da Terra"
1674,"Angélica"
1675,"Carequinha"
1676,"Nando Cordel"
1677,"Xuxa"
1678,"Caetano / Gal / Gil / Bethânia"
1679,"Carlos Alberto"
1680,"Vicente Celestino"
1681,"Selma Reis"
1682,"Vânia  Bastos"
1683,"Raimundo Fagner"
1684,"Sérgio Reis"
1685,"Márcia Salomon"
1686,"Toquinho e Vinícius"
1687,"Tempos de Bossa Nova"
1688,"Tempos de Bossa Nova"
1689,"Reginaldo Rossi"
1690,"Jovem Guarda"
1691,"Jovem Guarda"
1692,"Marisa Monte"
1693,"André Rio"
1694,"José Augusto"
1695,"Simonny"
1696,"Simone"
1697,"Moraes Moreira"
1698,"Roberto Carlos"
1699,"Salsa e Merengue"
1700,"Adoniram Barbosa"
1701,"Alceu, Elba, Geraldo e Zé Ramalho"
1702,"Caetano Veloso"
1703,"Leandro & Leonardo"
1704,"Sandy & Júnior "
1705,"Menino Maluquinho"
1706,"Leandro & Leonardo"
1707,"Alcione"
1708,"Renato e Seus Blue Caps"
1709,"Fafá de Belém"
1710,"Reginaldo Rossi"
1711,"Lazzo"
1712,"Marina Lima"
1713,"Zélia Duncan"
1714,"Fábio Jr."
1715,"Roberto Carlos"
1716,"Simone"
1717,"Elymar Santos"
1718,"14 Bis"
1719,"Sandy & Júnior"
1720,"Kleiton e Kledir"
1721,"Alípio Martins"
1722,"Emilio Santiago"
1723,"Moacyr Franco"
1724,"Roberta Miranda"
1725,"De Volta aos 80"
1726,"Pinduca"
1727,"Balthazar"
1728,"Maurício Reis"
1729,"As Marcianas"
1730,"De Volta aos Anos 40"
1731,"De Volta aos Anos 50"
1732,"De Volta aos Anos 60"
1733,"Renato Fechine"
1734,"Moacyr Franco"
1735,"Dalto "
1736,"Fagner"
1737,"Tom Cavalcante"
1738,"Rap's Hits"
1739,"Malhação"
1740,"Wanderléa"
1741,"Banda Pão Com Ovo"
1742,"Waldir Azevedo"
1743,"Copacabana Beat"
1744,"Nando Cordel"
1745,"Kakau Góis"
1746,"Alceu Valença"
1747,"Belchior"
1748,"Quinteto Violado"
1749,"Francisco Alves"
1750,"Quarteto em Cy"
1751,"A Cor do Som"
1752,"Ney Matogrosso"
1753,"Roberto Carlos"
1754,"Cesar Camargo Mariano"
1755,"Beto Barbosa"
1756,"Ivanildo Sax de Ouro"
1757,"Baby Consuelo"
1758,"Jane Duboc"
1759,"Adoniran Barbosa"
1760,"Ary Barroso"
1761,"Thaide e DJ. Hum"
1762,"Fafá de Belém"
1763,"Gonzaguinha"
1764,"Sandra de Sá"
1765,"A Indomada"
1766,"Planeta Atlântida Hits"
1767,"De Volta aos Anos 70"
1768,"Amigos "
1769,"Alcides Gerardi"
1770,"Tiririca"
1771,"Java"
1772,"Remix Sertanejo"
1773,"Teca Calazans"
1774,"Reginaldo Rossi"
1775,"Roberta Miranda"
1776,"Angélica"
1777,"Gilberto Gil"
1778,"Canta Nordeste"
1779,"Nilton Cesár"
1780,"Caetano Veloso"
1781,"Xuxa"
1782,"Aurio Corrá"
1783,"André Rocha & Vagner Nazareth"
1784,"Zé Ramalho"
1785,"Madrigal do Recife"
1786,"Joana"
1787,"Falcão"
1788,"Klinger Araújo"
1789,"Tânia Alves"
1790,"Claudinho & Buchecha"
1791,"Conjunto Pernambucano de Choro"
1792,"Pena Branca & Xavantinho"
1793,"Chrystian & Ralf"
1794,"Odair José"
1795,"Elba Ramalho"
1796,"Alceu Valença"
1797,"Zaza"
1798,"Milton Nascimento"
1799,"Velho Xaveco"
1800,"Paulinho da Viola"
1801,"Paulinho da Viola"
1802,"Zé Ramalho"
1803,"Xuxa"
1804,"Parabéns Pra Você"
1805,"Cássia Eller"
1806,"Leandro & Leonardo"
1807,"Paulinho da Viola"
1808,"Aguinaldo Rayol"
1809,"M.F.C. - Movimento Funk Club"
1810,"Maria Bethânia"
1811,"Paulo Ricardo"
1812,"O Choro das Cordas"
1813,"Paulo Sérgio"
1814,"Agnaldo Timóteo"
1815,"A Indomada"
1816,"Paquitas"
1817,"Hercúles "
1818,"Paulinho Moska"
1819,"Bartô Galeno"
1820,"Fernanda Abreu"
1821,"José Augusto"
1822,"Nando Cordel"
1823,"Fagner"
1824,"Chico César"
1825,"Xuxa"
1826,"Amado Batista"
1827,"Leonardo"
1828,"Gabriel O Pensador"
1829,"Maurício Mattar"
1830,"Amado Batista"
1831,"Rita Ribeiro"
1832,"Pedro Camargo Mariano"
1833,"Edson Gomes"
1834,"Zé Ramalho"
1835,"Allan Montarroyos"
1836,"Zezé di Camargo"
1837,"Capoeira Cordão de Ouro"
1838,"Zezé di Camargo & Luciano"
1839,"Geraldo Azevedo"
1840,"Amado Batista"
1841,"Novos Baianos"
1842,"Bailão de Peão"
1843,"Bailão de Peão"
1844,"Eliana"
1845,"Anjo Mau"
1846,"Baile Perfumado"
1847,"Wando"
1848,"Fauzi Beydoum"
1849,"Roberta Miranda"
1850,"Angélica"
1851,"Gal Costa"
1852,"Edson Gomes"
1853,"Xuxa"
1854,"Antonio Nóbrega"
1855,"Lenine"
1856,"João Gilberto / Stan Getz"
1857,"Baby Mix"
1858,"Chitãozinho & Xororó"
1859,"Osvaldo Montenegro"
1860,"Os Saltimbancos"
1861,"Pintando o Sete na Sua Festa"
1862,"Roberto Carlos"
1863,"Zezé di Camargo & Luciano"
1864,"Chiquititas"
1865,"Ney Matogrosso"
1866,"Sandy e Júnior"
1867,"Rider Hits"
1868,"Jorge Ben Jor"
1869,"Alcione"
1870,"Evaldo Braga"
1871,"Banda Labaredas"
1872,"Sandy e Júnior"
1873,"Daúde"
1874,"Quarteto em Cy e MPB 4"
1875,"Nelson Gonçalves"
1876,"Vânia Abreu"
1877,"Zeca Baleiro"
1878,"Roupa Nova"
1879,"João Bosco"
1880,"Natal Legal"
1881,"Gilberto Gil"
1882,"Chico Buarque"
1883,"Simone"
1884,"Sergio Reis"
1885,"José Augusto"
1886,"Nelson Gonçalves"
1887,"Amado Batista"
1888,"Fábio Júnior"
1889,"Paulinho da Viola"
1890,"Chico Buarque"
1891,"O Grande Encontro "
1892,"Chitãozinho e Xororó"
1893,"João Paulo e Daniel"
1894,"Claudinho e Bochecha"
1895,"Xuxa"
1896,"Por Amor"
1897,"Emilio Santiago"
1898,"Maria Bethânia"
1899,"Elba Ramalho"
1900,"Luiz Melodia"
1901,"Angela Maria"
1902,"Ivan Lins"
1903,"Mara Maravilha"
1904,"Carrapicho"
1905,"Roberto Carlos"
1906,"Renato Russo"
1907,"Fincabaute"
1908,"Zezé di Camargo e Luciano"
1909,"Simone"
1910,"Zizi Possi"
1911,"Fábio Júnior"
1912,"Caetano Veloso"
1913,"Vanessa Rangel"
1914,"Antúlio Madureira"
1915,"Antúlio Madureira"
1916,"Racionais Mc's"
1917,"Reginaldo Rossi"
1918,"Moraes Moreira"
1919,"Reginaldo Rossi"
1920,"Ed Motta"
1921,"Cristina Amaral"
1922,"Baby do Brasil"
1923,"Renato Braz"
1924,"Corpo Dourado"
1925,"Antonio de Nóbrega"
1926,"André Rio"
1927,"Ivan Lins"
1928,"Ivan Lins"
1929,"Alceu Valença"
1930,"Moraes Moreira"
1931,"Noite Ilustrada"
1932,"Maria Bethânia"
1933,"A Noite do Brega"
1934,"Altamiro Carrilho"
1935,"Bananas de Pijama"
1936,"Chiquititas"
1937,"Roberto Villar"
1938,"Elza Soares"
1939,"Amigos"
1940,"Festa da Música"
1941,"Balão Mágico"
1942,"Agnaldo Timóteo"
1943,"Agnaldo Rayol"
1944,"Elymar Santos"
1945,"Era Uma Vez"
1946,"Rumo ao Penta"
1947,"Rá-Tim-Bum"
1948,"Agita Brasil"
1949,"Torre de Babel"
1950,"Hilda Furacão"
1951,"Leandro e Leonardo"
1952,"Chitãozinho & Xororó"
1953,"Cauby Peixoto"
1954,"Byafra"
1955,"Milton Nascimento"
1956,"Milton Nascimento"
1957,"Tânia Alves"
1958,"Guilherme Arantes"
1959,"Roberta Miranda"
1960,"José Augusto"
1961,"Peninha"
1962,"Gonzaguinha"
1963,"Gonzaguinha"
1964,"Antúlio Madureira"
1965,"Top Brega"
1966,"Ed Motta"
1967,"Fagner"
1968,"Adriana Calcanhotto"
1969,"Simone"
1970,"Rodolfo & ET"
1971,"Marina Lima"
1972,"Vinny"
1973,"Milton Nascimento"
1974,"Racionais Mc's"
1975,"Zezé di Camargo & Luciano"
1976,"Liberdade de Expressão"
1977,"Peninha"
1978,"Malhação"
1979,"Malhação"
1980,"Eliana"
1981,"Daniel"
1982,"Djavan"
1983,"Meu Bem Querer"
1984,"Fat Family"
1985,"Xuxa"
1986,"Festa da Música 2"
1987,"Sandy e Júnior"
1988,"Bananas de Pijamas"
1989,"Tom Jobim"
1990,"Milton Nascimento"
1991,"Tribo de Jah"
1992,"Família Lima"
1993,"Fábio Júnior"
1994,"Zélia Duncan"
1995,"Maurício Mattar"
1996,"Pecado Capital"
1997,"Nana Caymmi"
1998,"Bezerra da Silva"
1999,"Sandra de Sá"
2000,"Chiquititas"
2001,"Angélica"
2002,"Caetano Veloso"
2003,"Claudinho e Bochecha"
2004,"O Som dos Baixinhos"
2005,"Tim Maia"
2006,"Ivan Lins"
2007,"José Ribeiro"
2008,"Leandro"
2009,"Labirinto"
2010,"Zizi Possi"
2011,"Os Saltimbancos"
2012,"Adriana Calcanhoto"
2013,"Emilio Santiago"
2014,"Caetano Veloso"
2015,"Chico Buarque"
2016,"Zé Ramalho"
2017,"Fafá de Belém"
2018,"Alcione"
2019,"Edson Cordeiro"
2020,"Reginaldo Rossi"
2021,"Roberto Carlos"
2022,"Meninas Cantoras de Petrópolis"
2023,"Alô Belém"
2024,"Nativus"
2025,"Joanna"
2026,"Gal Costa"
2027,"Leandro & Leonardo"
2028,"Geraldo Azevedo"
2029,"Labaredas"
2030,"Amigos Para Sempre"
2031,"Selma do Coco"
2032,"Moacir Franco"
2033,"Cazuza"
2034,"Noite Ilustrada"
2035,"Gian e Giovani"
2036,"André Rio"
2037,"Pepê & Neném"
2038,"Antonio Nóbrega"
2039,"Leandro e Leonardo"
2040,"Aquárius"
2041,"Sivuca"
2042,"Cavalo de Pau"
2043,"Mastruz Com Leite"
2044,"Banda Líbanos"
2045,"Catuaba Com Amendoim"
2046,"Magníficos"
2047,"Caviar Com Rapadura"
2048,"Rabo de Saia"
2049,"Calango Aceso"
2050,"Banda Beijo"
2051,"100 % "
2052,"Banda Eva"
2053,"Ricardo Chaves"
2054,"Banda Mel"
2055,"Carlinhos Brown"
2056,"Daniela Mercury"
2057,"É o Tchan"
2058,"Jammil e Uma Noites"
2059,"Netinho"
2060,"Companhia do Pagode"
2061,"Axé Brasil"
2062,"Asa de Águia"
2063,"Viva Bahia"
2064,"Cheiro de Amor"
2065,"Timbalada"
2066,"Banda Eva"
2067,"Cid Guerreiro"
2068,"Sem Compromisso"
2069,"Sem Compromisso"
2070,"Fundo de Quintal"
2071,"Grupo Raça"
2072,"Exaltasamba"
2073,"O Melhor do Pagode"
