cod_interprete,interprete
509,"Só Preto Sem Preconceito"
510,"Só Pra Contrariar"
511,"Só Pra Contrariar"
512,"Do Jeito Q'eu Gosto"
513,"Da Melhor Qualidade"
514,"Terrra Samba"
515,"Razão Brasileira"
516,"Beth Carvalho"
517,"Zeca Pagodinho"
518,"Grupo Alto Astral"
519,"Grupo Raça"
520,"Grupo Fundo de Quintal"
521,"Negritude Junior"
522,"Samba e Pagode"
523,"Samburika"
524,"Mocidade Hits"
525,"Grupo Fora de Série"
526,"Sambas de Enredo"
527,"Samba de Natal"
528,"Gera Samba"
529,"Samba Mix"
530,"Beth Carvalho"
531,"Pagunça"
532,"Eliana de Lima"
533,"Grupo Sem Nome"
534,"Legião do Samba"
535,"Salvador, Mania de Pagode"
536,"Só Pra Contrariar"
537,"Grupo Só de Onda"
538,"Katinguelê"
539,"Raça Negra"
540,"Martinho da Vila"
541,"Cor da Pele"
542,"Negritude Junior"
543,"Exaltasamba"
544,"Malícia"
545,"Karametade"
546,"Pagode Brasil"
547,"Grupo Sensação"
548,"Grupo Raça"
549,"Zeca Pagodinho"
550,"Martinho da Vila"
551,"Grupo Raça"
552,"Terra Samba"
553,"Negritude Junior"
554,"Marquinhos Satã"
555,"Os Originais do Samba"
556,"Só Pra Contrariar"
557,"Art Popular"
558,"Molejo"
559,"Samba e Pagode"
560,"Martinho da Vila"
561,"Luiz Carlos"
562,"Fundo de Quintal"
563,"Legião do Samba"
564,"Zeca Pagodinho"
565,"Pega no Pagode"
566,"Soweto"
567,"Sambas de Enredo 98"
568,"Jorge Aragão"
569,"Katinguelê"
570,"Karametade"
571,"Orquestra Românticos de Cuba"
572,"Orquestra Sinfônica Românticos de Cuba"
573,"Canto Gregoriano"
574,"Canto Gregoriano II"
575,"Jóias da Música"
576,"Jóias da Música"
577,"Jóias da Música"
578,"Jóias da Música"
579,"Jóias da Música"
580,"Jóias da Música"
581,"Jóias da Música"
582,"Jóias da Música"
583,"Jóias da Música"
584,"Jóias  da Música"
585,"Vivaldi"
586,"Brahms"
587,"Mendessohn"
588,"Schumann"
589,"Dvorák"
590,"Boléro"
591,"Nuctracker"
592,"Eine Kleine Nachtmusik"
593,"Peer Gynt"
594,"Capim Com Mel"
595,"Forrozão da Condenada & Calcinha Preta"
596,"Forró Maior"
597,"Circuito Musical"
598,"Corisco do Trovão"
599,"Elba Ramalho"
600,"Capital do Sol"
601,"Quenga de Coco"
602,"Noda de Caju"
603,"Corisco do Trovão"
604,"Flávio José"
605,"Caviar com Rapadura"
606,"Caviar com Rapadura"
607,"Noda de Caju"
608,"Terra Samba"
609,"Jorge Aragão"
610,"Só No Sapatinho"
611,"Os Melhores do Ano"
612,"Sem Compromisso "
613,"Papo 10"
614,"Timbalada"
615,"Ara Ketu"
616,"Sem Compromisso"
617,"Carnaval Não é Brincadeira"
618,"Carnaval Não É Brincadeira"
619,"Capiba"
620,"Maracatu Nação Pernambuco"
621,"Banda Pinguim"
622,"Banda de Pau e Corda"
623,"Galo da Madrugada"
624,"Banda Pinguim"
625,"Banda Municipal do Recife"
626,"Bloco da Saudade"
627,"Carnaval do Pinduca"
628,"Versão Brasileira"
629,"Recifrevo"
630,"Coral Mocambo"
631,"Claudionor Germano"
632,"Nonô Germano"
633,"Recife Frevoé"
634,"Elyanna Caldas"
635,"Bloco da Saudade "
636,"Recifrevo"
637,"Banda Shampoo"
638,"Capiba"
639,"Frevo de Bloco"
640,"Frevo de Rua"
641,"Frevo Canção"
642,"Asas da América"
643,"Grandes Carnavais"
644,"Viva Capiba"
645,"Versão Brasileira"
646,"Almir Rouche e Banda Pinguim"
647,"Recife Frevoé"
648,"Pernambucália"
649,"Nelson Ferreira"
650,"Oxente Music"
651,"Banda de Maçã"
652,"Ronaldo & os Barcelos"
653,"Raça Negra"
654,"Jorge Aragão"
655,"Martinho da Vila"
656,"Negritude Júnior"
657,"Negritude Júnior"
658,"Kiloucura"
659,"É o Tchan "
660,"Araketu"
661,"Radio Hits 2"
662,"Chiclete com Banana"
663,"Pe. Zezinho"
664,"Nelson Ned"
665,"Cid Moreira"
